Gene	Birch #	Qn	N insertions	Species
EXOSC2	1	11.11	15	Chrysocyon_brachyurus, Saimiri_boliviensis_boliviensis, Martes_foina, Mirounga_leonina, Eira_barbara, Potos_flavus, Axis_porcinus, Oncorhynchus_mykiss, Lerista_edwardsae, Callipepla_squamata, Proteles_cristata_cristata, Halichoerus_grypus, Pantholops_hodgsonii, Leucopleurus_acutus, Chloebia_gouldiae
KRBA2	1	11.11	10	Dallia_pectoralis, Xenopus_tropicalis, Merluccius_polli, Dallia_pectoralis, Merluccius_polli, Coilia_nasus, Xenopus_laevis, Gekko_japonicus, Coilia_nasus, Dallia_pectoralis
GRIPAP1	1	11.11	12	Bubalus_kerabau, Hipposideros_armiger, Microcebus_murinus, Balaenoptera_acutorostrata, Oreamnos_americanus, Balaenoptera_musculus, Hippotragus_niger_niger, Addax_nasomaculatus, Okapia_johnstoni, Alces_alces, Ovibos_moschatus, Damaliscus_lunatus
GRIP1	1	11.11	12	Bubalus_kerabau, Hipposideros_armiger, Microcebus_murinus, Balaenoptera_acutorostrata, Oreamnos_americanus, Balaenoptera_musculus, Hippotragus_niger_niger, Addax_nasomaculatus, Okapia_johnstoni, Alces_alces, Ovibos_moschatus, Damaliscus_lunatus
HDGFL3	1	11.11	16	Bombina_bombina, Pristis_pectinata, Engystomops_pustulosus, Eleutherodactylus_coqui, Protopterus_annectens, Tachyglossus_aculeatus, Xenopus_laevis, Hymenochirus_boettgeri, Hyla_sarda, Rhincodon_typus, Spea_bombifrons, Leptobrachium_leishanense, Ornithorhynchus_anatinus, Bufo_bufo, Hoolock_leuconedys, Xenopus_tropicalis
CSN2	1	11.11	18	Coregonus_clupeaformis, Oncorhynchus_keta, Hippoglossus_stenolepis, Micropterus_dolomieu, Protopterus_annectens, Cyclopterus_lumpus, Sphaerodactylus_townsendi, Thymallus_thymallus, Toxotes_jaculatrix, Cyprinus_carpio, Monopterus_albus, Anguilla_anguilla, Syngnathus_acus, Coregonus_clupeaformis, Siniperca_chuatsi, Salvelinus_fontinalis, Carassius_auratus, Nibea_albiflora
COPS2	1	11.11	18	Coregonus_clupeaformis, Oncorhynchus_keta, Hippoglossus_stenolepis, Micropterus_dolomieu, Protopterus_annectens, Pseudoliparis_swirei, Sphaerodactylus_townsendi, Thymallus_thymallus, Toxotes_jaculatrix, Cyprinus_carpio_carpio, Monopterus_albus, Anguilla_anguilla, Syngnathus_acus, Siniperca_chuatsi, Salvelinus_fontinalis, Carassius_auratus, Coregonus_clupeaformis, Nibea_albiflora
COMMD2	1	11.11	12	Lamprotornis_superbus, Chloropsis_cyanopogon, Mystacornis_crossleyi, Sitta_europaea, Dicrurus_megarhynchus, Rhipidura_dahli, Collichthys_lucidus, Chloebia_gouldiae, Edolisoma_coerulescens, Elachura_formosa, Donacobius_atricapilla, Ifrita_kowaldi
FDXR	1	9.37	8	Megaderma_spasma, Muntiacus_muntjak, Bradypus_torquatus, Aix_galericulata, Ranitomeya_imitator, Nomascus_leucogenys, Colinus_virginianus, Mauremys_mutica
CNBP	1	8.89	25	Pteropus_alecto, Eurypyga_helias, Scophthalmus_maximus, Erpetoichthys_calabaricus, Marmota_monax, Lates_calcarifer, Takifugu_rubripes, Orycteropus_afer_afer, Morone_saxatilis, Stegostoma_tigrinum, Hippoglossus_hippoglossus, Astyanax_mexicanus, Rana_temporaria, Dicentrarchus_labrax, Lepisosteus_oculatus, Sparus_aurata, Callorhinchus_milii, Petromyzon_marinus, Mus_minutoides, Pipistrellus_kuhlii, Gouania_willdenowi, Bos_mutus, Odocoileus_hemionus_hemionus, Reinhardtius_hippoglossoides, Pleuronectes_platessa
ANAPC15	1	8.89	18	Amazona_guildingii, Scortum_barcoo, Paralichthys_olivaceus, Takifugu_rubripes, Synchiropus_splendidus, Mandrillus_leucophaeus, Etheostoma_cragini, Pezoporus_wallicus, Poecile_atricapillus, Morone_saxatilis, Channa_argus, Bufo_gargarizans, Acipenser_oxyrinchus_oxyrinchus, Sturnus_vulgaris, Hirundo_rustica_rustica, Acanthopagrus_latus, Cervus_hanglu_yarkandensis, Motacilla_alba_alba
DPH5	1	8.89	10	Delphinus_delphis, Oncorhynchus_kisutch, Inia_geoffrensis, Ranitomeya_imitator, Myotis_brandtii, Oncorhynchus_nerka, Corythoichthys_intestinalis, Loris_tardigradus, Sagmatias_obliquidens, Steno_bredanensis
NTHL1	1	8.89	13	Ammotragus_lervia, Rupicapra_rupicapra, Budorcas_taxicolor, Moschus_berezovskii, Cervus_elaphus_hippelaphus, Perognathus_longimembris_pacificus, Bubalus_bubalis, Pantholops_hodgsonii, Capra_hircus, Eira_barbara, Sus_scrofa, Boleophthalmus_pectinirostris, Heterocephalus_glaber
SMU1	1	8.89	25	Paralichthys_olivaceus, Tetraodon_nigroviridis, Xiphophorus_maculatus, Labrus_bergylta, Hemibagrus_wyckioides, Puntigrus_tetrazona, Takifugu_flavidus, Oryzias_latipes, Poecilia_mexicana, Xiphophorus_maculatus, Gasterosteus_aculeatus_aculeatus, Gadus_morhua, Pygocentrus_nattereri, Electrophorus_electricus, Prochilodus_magdalenae, Xiphophorus_hellerii, Fundulus_heteroclitus, Pseudoliparis_swirei, Astyanax_mexicanus, Betta_splendens, Poeciliopsis_prolifica, Amia_calva, Alosa_sapidissima, Triplophysa_dalaica, Gambusia_affinis
WDR83	1	8.89	10	Tachyglossus_aculeatus, Equus_quagga, Salvelinus_alpinus, Formicarius_rufipectus, Copsychus_sechellarum, Castor_canadensis, Aotus_nancymaae, Pithecia_pithecia, Macaca_mulatta, Ornithorhynchus_anatinus
ZCCHC13	1	8.89	25	Pteropus_alecto, Eurypyga_helias, Scophthalmus_maximus, Erpetoichthys_calabaricus, Marmota_monax, Lates_calcarifer, Takifugu_rubripes, Orycteropus_afer_afer, Morone_saxatilis, Stegostoma_tigrinum, Hippoglossus_hippoglossus, Astyanax_mexicanus, Rana_temporaria, Dicentrarchus_labrax, Lepisosteus_oculatus, Sparus_aurata, Callorhinchus_milii, Petromyzon_marinus, Mus_minutoides, Pipistrellus_kuhlii, Gouania_willdenowi, Bos_mutus, Odocoileus_hemionus_hemionus, Reinhardtius_hippoglossoides, Pleuronectes_platessa
MBD6	1	8.89	12	Zootoca_vivipara, Malaclemys_terrapin_pileata, Euleptes_europaea, Cariama_cristata, Limosa_lapponica_baueri, Protobothrops_mucrosquamatus, Notechis_scutatus, Charadrius_vociferus, Gopherus_flavomarginatus, Platysternon_megacephalum, Pleurodeles_waltl, Hemicordylus_capensis
NPAS2	1	8.89	14	Hydropotes_inermis, Pantholops_hodgsonii, Alexandromys_oeconomus, Axis_porcinus, Meles_meles, Rupicapra_rupicapra, Capreolus_pygargus, Neodon_shergylaensis, Budorcas_taxicolor, Ailurus_styani, Theropithecus_gelada, Phataginus_tricuspis, Neogale_vison, Tremarctos_ornatus
HOXC4	1	8.89	11	Kobus_leche_leche, Felis_catus_x_Prionailurus_bengalensis, Arvicanthis_niloticus, Oreamnos_americanus, Miniopterus_natalensis, Equus_przewalskii, Procapra_przewalskii, Tragelaphus_strepsiceros, Tursiops_aduncus, Hippopotamus_amphibius_kiboko, Macaca_fascicularis
CRYM	1	8.7	8	Pseudorca_crassidens, Equus_asinus, Rattus_norvegicus, Hydropotes_inermis, Sturnira_hondurensis, Phyllostomus_discolor, Sagmatias_obliquidens, Bradypus_torquatus
WWP1	1	8.57	7	Ursus_arctos_horribilis, Bos_indicus_x_Bos_taurus, Corynorhinus_townsendii, Colobus_angolensis_palliatus, Carlito_syrichta, Capra_hircus, Sagmatias_obliquidens
DCAF7	1	8.57	7	Carassius_gibelio, Paracanthobrama_guichenoti, Menidia_menidia, Atlantisia_rogersi, Anoplopoma_fimbria, Ceratotherium_simum_simum, Colinus_virginianus
USP54	1	8.55	6	Vulpes_lagopus, Ctenodactylus_gundi, Nomascus_leucogenys, Pongo_abelii, Onychomys_torridus, Monodelphis_domestica
BPIFB1	1	8.44	5	Neotoma_lepida, Panthera_leo, Eudorcas_thomsonii, Eira_barbara, Rhinoceros_unicornis
SEMA4A	1	7.33	6	Oreocharis_arfaki, Syrrhaptes_paradoxus, Brachypteracias_leptosomus, Galemys_pyrenaicus, Lamprotornis_superbus, Rhynchomys_soricoides
TCP1	2	6.67	40	Bambusicola_thoracicus, Eudyptula_albosignata, Balaeniceps_rex, Baryphthengus_martii, Penelope_pileata, Aegithalos_caudatus, Alosa_alosa, Atlantisia_rogersi, Thryothorus_ludovicianus, Turnix_velox, Cardinalis_cardinalis, Podiceps_cristatus, Cisticola_juncidis, Struthidea_cinerea, Nyctibius_bracteatus, Amazona_guildingii, Chunga_burmeisteri, Bucorvus_abyssinicus, Anseranas_semipalmata, Psilopogon_haemacephalus, Nyctiprogne_leucopyga, Trogon_melanurus, Callipepla_squamata, Spizaetus_tyrannus, Probosciger_aterrimus, Machaerirhynchus_nigripectus, Ramphastos_sulfuratus, Psophia_crepitans, Alectura_lathami, Jacana_jacana, Amia_calva, Phoenicopterus_ruber_ruber, Rhinoptilus_africanus, Asarcornis_scutulata, Sylvia_borin, Upupa_epops, Thinocorus_orbignyianus, Indicator_maculatus, Ceyx_cyanopectus, Aramus_guarauna
MPND	1	6.67	17	Centropus_bengalensis, Scomber_japonicus, Rhagologus_leucostigma, Hirundo_rustica_rustica, Chionomys_nivalis, Coryphaenoides_rupestris, Scatophagus_argus, Podargus_strigoides, Seriola_dumerili, Sparus_aurata, Felis_catus, Mus_spretus, Machaerirhynchus_nigripectus, Centropus_unirufus, Mastacembelus_armatus, Panthera_pardus, Larimichthys_crocea
GUCD1	1	6.67	11	Pseudopodoces_humilis, Myxocyprinus_asiaticus, Coturnix_japonica, Oenanthe_melanoleuca, Phyllostomus_hastatus, Vidua_macroura, Vidua_chalybeata, Eubucco_bourcierii, Aldrovandia_affinis, Mastacembelus_armatus, Myodes_glareolus
ARHGAP21	1	6.67	10	Mustela_erminea, Canis_lupus_familiaris, Panthera_uncia, Tachyglossus_aculeatus, Callorhinus_ursinus, Acinonyx_jubatus, Ornithorhynchus_anatinus, Paguma_larvata, Micromys_minutus, Vulpes_ferrilata
C11orf86	1	6.67	11	Trachemys_scripta_elegans, Engystomops_pustulosus, Pleurodeles_waltl, Gopherus_flavomarginatus, Sceloporus_undulatus, Rhinolophus_ferrumequinum, Pogona_vitticeps, Gopherus_evgoodei, Podarcis_muralis, Eleutherodactylus_coqui, Lerista_edwardsae
ARIH1	1	6.67	32	Channa_argus, Scyliorhinus_canicula, Ameiurus_melas, Carassius_auratus_red_var., Coilia_nasus, Tropheus_moorii, Trachurus_trachurus, Harpagifer_antarcticus, Petromyzon_marinus, Paracanthobrama_guichenoti, Scortum_barcoo, Callorhinchus_milii, Beaufortia_kweichowensis, Squalus_suckleyi, Ameiurus_melas, Labeo_catla, Coilia_nasus, Gasterosteus_aculeatus, Paralichthys_olivaceus, Leucoraja_erinaceus, Cyprinus_carpio_carpio, Scleropages_formosus, Silurus_aristotelis, Rana_temporaria, Carcharodon_carcharias, Cyprinus_carpio_carpio, Verasper_variegatus, Nibea_albiflora, Taphozous_melanopogon, Carassius_auratus_red_var., Silurus_aristotelis, Amphiprion_percula
TCP1	1	6.1	9	Leopardus_geoffroyi, Syncerus_caffer, Acipenser_ruthenus, Procavia_capensis, Menidia_menidia, Amia_calva, Balaenoptera_physalus, Antechinus_stuartii, Scortum_barcoo
RBM18	1	6.02	8	Ursus_arctos_horribilis, Lasiurus_cinereus, Ailuropoda_melanoleuca, Axis_porcinus, Rousettus_aegyptiacus, Thryonomys_swinderianus, Ictalurus_furcatus, Lerista_edwardsae
INO80C	1	6	7	Bos_indicus_x_Bos_taurus, Caretta_caretta, Dermochelys_coriacea, Reinhardtius_hippoglossoides, Sagmatias_obliquidens, Chelonia_mydas, Anarrhichthys_ocellatus
TADA1	1	5.5	6	Caranx_melampygus, Ursus_americanus, Coryphaenoides_rupestris, Callorhinus_ursinus, Silurus_aristotelis, Ranitomeya_imitator
TP53INP1	1	5.35	8	Culter_alburnus, Clarias_magur, Caranx_melampygus, Clupea_harengus, Chanos_chanos, Coilia_nasus, Alosa_sapidissima, Electrophorus_electricus
CPSF4L	1	5.14	7	Solenodon_paradoxus, Mus_musculus, Bettongia_penicillata_ogilbyi, Steno_bredanensis, Syncerus_caffer, Canis_lupus, Sagmatias_obliquidens
PGAM5	1	5.14	7	Salvelinus_alpinus, Oncorhynchus_gorbuscha, Macaca_thibetana_thibetana, Setophaga_kirtlandii, Coregonus_sp._'balchen', Callipepla_squamata, Oncorhynchus_keta
CHMP5	1	5.06	5	Culter_alburnus, Triplophysa_tibetana, Menidia_menidia, Suncus_etruscus, Echinops_telfairi
TRAIP	1	4.68	8	Lynx_pardinus, Prolemur_simus, Okapia_johnstoni, Serinus_canaria, Bison_bonasus, Paralichthys_olivaceus, Cavia_porcellus, Litocranius_walleri
ILRUN	1	4.68	8	Doryrhamphus_excisus, Symphalangus_syndactylus, Hylobates_moloch, Hoolock_leuconedys, Lynx_rufus, Gorilla_gorilla_gorilla, Caracal_caracal, Ameiurus_melas
CNOT11	1	4.44	10	Salvelinus_alpinus, Nothocercus_nigrocapillus, Eudromia_elegans, Urocolius_indicus, Mus_spretus, Tachuris_rubrigastra, Neopipo_cinnamomea, Piprites_chloris, Myxocyprinus_asiaticus, Mus_musculus_molossinus
ASB6	1	4.44	51	Dicentrarchus_labrax, Dallia_pectoralis, Hippocampus_zosterae, Solea_senegalensis, Gymnodraco_acuticeps, Astyanax_mexicanus, Atractosteus_spatula, Megalobrama_amblycephala, Sinocyclocheilus_anshuiensis, Amphiprion_percula, Anabas_testudineus, Amia_calva, Synaphobranchus_kaupii, Lampris_incognitus, Scleropages_formosus, Denticeps_clupeoides, Lepisosteus_oculatus, Electrophorus_electricus, Triplophysa_tibetana, Corythoichthys_intestinalis, Carassius_auratus, Conger_conger, Monopterus_albus, Pungitius_pungitius, Periophthalmus_magnuspinnatus, Esox_lucius, Coilia_nasus, Pygocentrus_nattereri, Anguilla_anguilla, Thalassophryne_amazonica, Cyprinus_carpio, Alosa_sapidissima, Salvelinus_fontinalis, Tetraodon_nigroviridis, Brienomyrus_brachyistius, Cottoperca_gobio, Acanthochromis_polyacanthus, Megalops_cyprinoides, Thamnaconus_septentrionalis, Cyprinus_carpio, Chanos_chanos, Danionella_translucida, Thymallus_thymallus, Scortum_barcoo, Aldrovandia_affinis, Clupea_harengus, Danio_aesculapii, Salarias_fasciatus, Cheilinus_undulatus, Gymnothorax_javanicus, Colossoma_macropomum
CAMTA2	1	4.44	22	Harpia_harpyja, Hirundo_rustica_rustica, Lepidothrix_coronata, Camarhynchus_parvulus, Agelaius_phoeniceus, Molothrus_ater, Corvus_hawaiiensis, Ammospiza_caudacuta, Taeniopygia_guttata, Passer_montanus, Pipra_filicauda, Astur_gentilis, Dicrurus_megarhynchus, Catharus_ustulatus, Grus_americana, Falco_rusticolus, Myiozetetes_cayanensis, Sinocyclocheilus_grahami, Oenanthe_melanoleuca, Aquila_chrysaetos_chrysaetos, Onychostruthus_taczanowskii, Pyrgilauda_ruficollis
ARIH1	2	4.44	65	Terrapene_triunguis, Reinhardtius_hippoglossoides, Acipenser_ruthenus, Paramormyrops_kingsleyae, Oreochromis_niloticus, Triplophysa_dalaica, Alosa_sapidissima, Dissostichus_eleginoides, Pleuronectes_platessa, Bombina_bombina, Oncorhynchus_mykiss, Conger_conger, Channa_argus, Ameiurus_melas, Albula_glossodonta, Carassius_auratus_red_var., Oncorhynchus_tshawytscha, Gekko_japonicus, Collichthys_lucidus, Pungitius_pungitius, Colossoma_macropomum, Salmo_trutta, Salvelinus_fontinalis, Clupea_harengus, Carassius_auratus, Coilia_nasus, Anoplopoma_fimbria, Tropheus_moorii, Trachurus_trachurus, Harpagifer_antarcticus, Paracanthobrama_guichenoti, Callorhinchus_milii, Beaufortia_kweichowensis, Anguilla_anguilla, Megalops_cyprinoides, Labeo_rohita, Hypomesus_transpacificus, Ameiurus_melas, Clupea_harengus, Oncorhynchus_kisutch, Labeo_catla, Coilia_nasus, Gasterosteus_aculeatus, Monopterus_albus, Conger_conger, Ahaetulla_prasina, Salvelinus_namaycush, Leucoraja_erinaceus, Esox_lucius, Albula_glossodonta, Electrophorus_electricus, Pseudonaja_textilis, Scleropages_formosus, Sebastes_umbrosus, Pseudoliparis_swirei, Mauremys_reevesii, Cyprinus_carpio_carpio, Verasper_variegatus, Oncorhynchus_kisutch, Amia_calva, Stegastes_partitus, Scophthalmus_maximus, Anarrhichthys_ocellatus, Silurus_aristotelis, Megalops_cyprinoides
ANGPT4	1	4.44	10	Motacilla_alba, Crypturellus_undulatus, Nothoprocta_ornata, Loxia_curvirostra, Phainopepla_nitens, Himantopus_himantopus, Xiphorhynchus_elegans, Rhadina_sibilatrix, Lerista_edwardsae, Nothoprocta_pentlandii
SNRPN	1	4.44	10	Sigmodon_hispidus, Camelus_ferus, Sturnira_hondurensis, Desmodus_rotundus, Meriones_unguiculatus, Glossophaga_mutica, Peromyscus_maniculatus_bairdii, Phyllostomus_hastatus, Sigmodon_hispidus, Phyllotis_vaccarum
